col,row,snr
1.120000000000000000e+02,9.100000000000000000e+01,7.311679129074784456e+00
3.800000000000000000e+01,1.900000000000000000e+02,4.712941933193864230e+00
2.700000000000000000e+01,7.000000000000000000e+01,6.742845610634068620e+00
2.270000000000000000e+02,5.700000000000000000e+01,7.778294841711992369e+00
8.800000000000000000e+01,7.600000000000000000e+01,7.176382323737917623e+00
2.870000000000000000e+02,1.600000000000000000e+01,6.689955399320519192e+00
6.300000000000000000e+01,1.670000000000000000e+02,7.504239637178011790e+00
5.900000000000000000e+01,1.450000000000000000e+02,7.861364201237428517e+00
8.700000000000000000e+01,1.340000000000000000e+02,6.560103427694389033e+00
8.000000000000000000e+01,1.230000000000000000e+02,8.307867733477849015e+00
2.380000000000000000e+02,1.900000000000000000e+02,5.862274055028965591e+00
3.900000000000000000e+01,1.290000000000000000e+02,7.029215264078879422e+00
8.200000000000000000e+01,1.220000000000000000e+02,6.619878184799772747e+00
1.200000000000000000e+01,5.400000000000000000e+01,8.128460419298765061e+00
6.100000000000000000e+01,7.800000000000000000e+01,5.885788167549927508e+00
2.210000000000000000e+02,1.600000000000000000e+01,6.003738962260559475e+00
1.520000000000000000e+02,1.370000000000000000e+02,7.063496642016258598e+00
2.190000000000000000e+02,1.650000000000000000e+02,4.019065579367510743e+00
2.410000000000000000e+02,5.000000000000000000e+01,6.199203014085366448e+00
2.670000000000000000e+02,1.700000000000000000e+01,8.088900572963826363e+00
2.450000000000000000e+02,1.160000000000000000e+02,8.121866491246471753e+00
1.730000000000000000e+02,2.040000000000000000e+02,8.645829946515451780e+00
1.400000000000000000e+01,1.330000000000000000e+02,6.376355712673739795e+00
2.210000000000000000e+02,1.040000000000000000e+02,7.723647917597013191e+00
2.420000000000000000e+02,1.170000000000000000e+02,7.973994829465167022e+00
7.300000000000000000e+01,2.070000000000000000e+02,7.331912342907410896e+00
2.550000000000000000e+02,1.700000000000000000e+01,7.578554970972761318e+00
2.380000000000000000e+02,1.890000000000000000e+02,6.581564858059586243e+00
2.430000000000000000e+02,1.190000000000000000e+02,6.190095997625472357e+00
1.050000000000000000e+02,1.960000000000000000e+02,7.672322187065663712e+00
2.080000000000000000e+02,2.500000000000000000e+01,4.075796494196906039e+00
3.800000000000000000e+01,1.900000000000000000e+02,6.144602596317454868e+00
9.000000000000000000e+00,6.500000000000000000e+01,7.442328502895206199e+00
2.230000000000000000e+02,1.040000000000000000e+02,6.160400571252553803e+00
1.810000000000000000e+02,9.400000000000000000e+01,7.166305500189849909e+00
2.560000000000000000e+02,7.800000000000000000e+01,8.583895894262129289e+00
2.570000000000000000e+02,9.700000000000000000e+01,5.668784239644287126e+00
6.100000000000000000e+01,1.430000000000000000e+02,5.719167109917780323e+00
2.550000000000000000e+02,7.700000000000000000e+01,6.310479600489089513e+00
9.000000000000000000e+00,6.200000000000000000e+01,6.771669164519551920e+00
9.700000000000000000e+01,6.600000000000000000e+01,7.547086885421456337e+00
9.800000000000000000e+01,6.400000000000000000e+01,6.161385352034776552e+00
2.890000000000000000e+02,1.090000000000000000e+02,7.282555869259048187e+00
2.360000000000000000e+02,1.880000000000000000e+02,7.470672503004915477e+00
2.400000000000000000e+02,1.170000000000000000e+02,7.166296409215196839e+00
2.900000000000000000e+02,1.100000000000000000e+02,7.504585491962590282e+00
8.900000000000000000e+01,7.500000000000000000e+01,7.081262293310624401e+00
1.500000000000000000e+01,1.340000000000000000e+02,6.541599014647612620e+00
6.600000000000000000e+01,1.670000000000000000e+02,5.563957057518814864e+00
7.200000000000000000e+01,6.600000000000000000e+01,8.549936874371796947e+00
1.600000000000000000e+01,1.320000000000000000e+02,7.086143871729224664e+00
2.800000000000000000e+01,7.200000000000000000e+01,6.232918046817490954e+00
3.600000000000000000e+01,1.290000000000000000e+02,6.605390467043456226e+00
1.600000000000000000e+01,4.400000000000000000e+01,7.041942327866987483e+00
5.900000000000000000e+01,1.480000000000000000e+02,5.915428595722580951e+00
2.900000000000000000e+02,1.500000000000000000e+01,6.948277054711218703e+00
2.340000000000000000e+02,1.210000000000000000e+02,8.404313007494838672e+00
2.420000000000000000e+02,5.100000000000000000e+01,7.903958877125928595e+00
2.560000000000000000e+02,1.600000000000000000e+01,5.992797543212146749e+00
1.710000000000000000e+02,9.300000000000000000e+01,6.817839582443258273e+00
6.900000000000000000e+01,1.730000000000000000e+02,7.118408076322856992e+00
4.000000000000000000e+01,1.270000000000000000e+02,7.282254292931384931e+00
8.700000000000000000e+01,1.340000000000000000e+02,6.672755464719493546e+00
5.200000000000000000e+01,1.350000000000000000e+02,8.510661434753464150e+00
7.300000000000000000e+01,6.400000000000000000e+01,6.238171283529442057e+00
6.000000000000000000e+01,5.700000000000000000e+01,7.880603666756061720e+00
6.100000000000000000e+01,7.800000000000000000e+01,8.652493320014144729e+00
3.000000000000000000e+01,1.900000000000000000e+02,5.303515347030367977e+00
2.680000000000000000e+02,1.800000000000000000e+01,7.180902079753984424e+00
2.360000000000000000e+02,1.200000000000000000e+02,7.518212891933005793e+00
1.280000000000000000e+02,1.030000000000000000e+02,5.917186802878354968e+00
2.410000000000000000e+02,1.170000000000000000e+02,6.396882304322753399e+00
3.100000000000000000e+01,1.880000000000000000e+02,6.069679530013927682e+00
2.260000000000000000e+02,5.800000000000000000e+01,7.164342107927041958e+00
1.540000000000000000e+02,1.370000000000000000e+02,6.447571575236749730e+00
2.260000000000000000e+02,8.300000000000000000e+01,7.296267537295415551e+00
1.780000000000000000e+02,9.300000000000000000e+01,8.176318458198236883e+00
5.800000000000000000e+01,5.800000000000000000e+01,6.647538516460074653e+00
2.570000000000000000e+02,9.800000000000000000e+01,7.369759245659985858e+00
2.230000000000000000e+02,1.800000000000000000e+01,6.663375382790748702e+00
7.200000000000000000e+01,1.730000000000000000e+02,6.992893761516931761e+00
1.300000000000000000e+01,5.100000000000000000e+01,7.899142170416741493e+00
8.200000000000000000e+01,7.200000000000000000e+01,6.292427200747341409e+00
8.000000000000000000e+01,7.000000000000000000e+01,7.439373545323120673e+00
2.260000000000000000e+02,1.280000000000000000e+02,7.296669599753839996e+00
2.170000000000000000e+02,1.670000000000000000e+02,7.903829994659486324e+00
2.060000000000000000e+02,2.600000000000000000e+01,7.772351765279473135e+00
1.500000000000000000e+01,4.600000000000000000e+01,7.744499971121491022e+00
2.260000000000000000e+02,8.600000000000000000e+01,8.252350669795266214e+00
6.100000000000000000e+01,6.200000000000000000e+01,7.732341891608701445e+00
1.060000000000000000e+02,1.980000000000000000e+02,6.434096293790738663e+00
3.400000000000000000e+01,1.880000000000000000e+02,6.525958632015614214e+00
1.730000000000000000e+02,2.040000000000000000e+02,8.191576209465990743e+00
7.200000000000000000e+01,2.080000000000000000e+02,6.520372111632627643e+00
5.900000000000000000e+01,6.000000000000000000e+01,5.597291946181967681e+00
5.300000000000000000e+01,1.330000000000000000e+02,8.830747592008615143e+00
1.700000000000000000e+02,9.000000000000000000e+01,7.034486498457165560e+00
2.280000000000000000e+02,1.270000000000000000e+02,6.736954475955486465e+00
1.270000000000000000e+02,1.000000000000000000e+02,8.366515261026975736e+00
1.090000000000000000e+02,9.000000000000000000e+01,5.937673323686312621e+00
