col,row,snr
2.660000000000000000e+02,4.100000000000000000e+01,1.027869709894499373e+01
3.000000000000000000e+01,1.380000000000000000e+02,1.124240671190228014e+01
2.420000000000000000e+02,4.800000000000000000e+01,1.080774495693924386e+01
2.900000000000000000e+02,1.430000000000000000e+02,1.142611980834486118e+01
3.000000000000000000e+01,1.710000000000000000e+02,1.105155109339237463e+01
6.500000000000000000e+01,1.230000000000000000e+02,1.193720328157011323e+01
2.620000000000000000e+02,6.000000000000000000e+00,1.077041533083060720e+01
2.570000000000000000e+02,8.400000000000000000e+01,1.086187855089349519e+01
2.430000000000000000e+02,8.400000000000000000e+01,9.439638257819149558e+00
6.700000000000000000e+01,1.240000000000000000e+02,1.136538069778928950e+01
5.900000000000000000e+01,1.660000000000000000e+02,1.264685386316938320e+01
2.310000000000000000e+02,5.600000000000000000e+01,9.595163820022705181e+00
7.300000000000000000e+01,1.490000000000000000e+02,1.266953427680580901e+01
1.630000000000000000e+02,1.090000000000000000e+02,1.099134681054887253e+01
4.200000000000000000e+01,1.940000000000000000e+02,1.255483937084870405e+01
2.250000000000000000e+02,1.130000000000000000e+02,1.212885703189913933e+01
2.560000000000000000e+02,6.500000000000000000e+01,1.206273165678932102e+01
2.000000000000000000e+02,5.900000000000000000e+01,1.094180605581549415e+01
2.600000000000000000e+02,3.100000000000000000e+01,1.120132254325987198e+01
2.090000000000000000e+02,3.400000000000000000e+01,1.223182789533061587e+01
6.200000000000000000e+01,6.100000000000000000e+01,8.775622834302595265e+00
6.700000000000000000e+01,2.100000000000000000e+02,1.171021521927344899e+01
2.600000000000000000e+01,1.470000000000000000e+02,1.133463654515443864e+01
5.200000000000000000e+01,2.000000000000000000e+02,1.142312417661107027e+01
2.830000000000000000e+02,9.900000000000000000e+01,1.176781945118299255e+01
4.400000000000000000e+01,1.900000000000000000e+02,1.034554965934692206e+01
2.520000000000000000e+02,1.400000000000000000e+01,1.005564879466487049e+01
1.970000000000000000e+02,8.200000000000000000e+01,9.463566058097946154e+00
1.900000000000000000e+02,9.700000000000000000e+01,1.180738601503131058e+01
1.850000000000000000e+02,7.600000000000000000e+01,9.979977789339121941e+00
2.720000000000000000e+02,7.900000000000000000e+01,1.187711729117283888e+01
2.800000000000000000e+02,9.200000000000000000e+01,1.221479742475773378e+01
5.700000000000000000e+01,1.330000000000000000e+02,1.047787451501543643e+01
2.430000000000000000e+02,4.200000000000000000e+01,1.118268971467464645e+01
1.640000000000000000e+02,1.020000000000000000e+02,1.128977993751936282e+01
2.760000000000000000e+02,1.310000000000000000e+02,1.144581854120732345e+01
1.930000000000000000e+02,7.600000000000000000e+01,1.118017049502239502e+01
1.670000000000000000e+02,8.400000000000000000e+01,1.177858625681704474e+01
2.900000000000000000e+02,3.000000000000000000e+01,1.206288276835199547e+01
4.200000000000000000e+01,1.830000000000000000e+02,1.256210314706421016e+01
2.810000000000000000e+02,3.900000000000000000e+01,1.144469341612287216e+01
2.840000000000000000e+02,2.900000000000000000e+01,1.087146551746020506e+01
2.000000000000000000e+01,1.590000000000000000e+02,1.198389048645593569e+01
2.600000000000000000e+02,4.500000000000000000e+01,8.480448634714822020e+00
1.810000000000000000e+02,1.320000000000000000e+02,9.410699879292728554e+00
4.900000000000000000e+01,1.990000000000000000e+02,1.095820411357847846e+01
2.560000000000000000e+02,1.370000000000000000e+02,1.079273759659750453e+01
5.600000000000000000e+01,1.300000000000000000e+02,1.072885461140338137e+01
5.900000000000000000e+01,1.650000000000000000e+02,1.252998555960203575e+01
5.800000000000000000e+01,1.530000000000000000e+02,9.394369526102662959e+00
