col,row,snr
5.000000000000000000e+00,1.810000000000000000e+02,3.000000000000000000e+00
7.900000000000000000e+01,1.690000000000000000e+02,3.000000000000000000e+00
5.700000000000000000e+01,5.100000000000000000e+01,3.767530608161453909e+00
8.000000000000000000e+00,1.740000000000000000e+02,3.000000000000000000e+00
3.700000000000000000e+01,2.000000000000000000e+02,3.000000000000000000e+00
2.600000000000000000e+01,1.550000000000000000e+02,3.000000000000000000e+00
2.770000000000000000e+02,5.000000000000000000e+00,3.000000000000000000e+00
2.300000000000000000e+01,1.860000000000000000e+02,3.000000000000000000e+00
5.100000000000000000e+01,4.700000000000000000e+01,3.000000000000000000e+00
1.700000000000000000e+02,1.440000000000000000e+02,3.000000000000000000e+00
7.100000000000000000e+01,1.430000000000000000e+02,3.000000000000000000e+00
5.900000000000000000e+01,1.410000000000000000e+02,3.000000000000000000e+00
2.540000000000000000e+02,1.300000000000000000e+02,3.000000000000000000e+00
2.940000000000000000e+02,1.180000000000000000e+02,3.000000000000000000e+00
1.510000000000000000e+02,1.150000000000000000e+02,3.000000000000000000e+00
6.500000000000000000e+01,1.880000000000000000e+02,3.000000000000000000e+00
7.400000000000000000e+01,5.300000000000000000e+01,3.000000000000000000e+00
6.600000000000000000e+01,2.010000000000000000e+02,3.000000000000000000e+00
1.990000000000000000e+02,9.400000000000000000e+01,3.000000000000000000e+00
1.640000000000000000e+02,1.300000000000000000e+02,3.000000000000000000e+00
3.800000000000000000e+01,6.800000000000000000e+01,3.000000000000000000e+00
2.440000000000000000e+02,5.400000000000000000e+01,3.000000000000000000e+00
2.820000000000000000e+02,1.270000000000000000e+02,3.000000000000000000e+00
7.600000000000000000e+01,1.820000000000000000e+02,3.000000000000000000e+00
5.200000000000000000e+01,4.500000000000000000e+01,3.000000000000000000e+00
2.940000000000000000e+02,8.400000000000000000e+01,3.000000000000000000e+00
6.500000000000000000e+01,2.000000000000000000e+02,3.000000000000000000e+00
2.540000000000000000e+02,2.000000000000000000e+01,3.000000000000000000e+00
2.720000000000000000e+02,1.080000000000000000e+02,3.000000000000000000e+00
2.560000000000000000e+02,7.000000000000000000e+01,3.000000000000000000e+00
1.690000000000000000e+02,1.140000000000000000e+02,3.000000000000000000e+00
2.650000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00
2.460000000000000000e+02,4.200000000000000000e+01,3.000000000000000000e+00
2.500000000000000000e+01,1.830000000000000000e+02,3.000000000000000000e+00
2.250000000000000000e+02,5.700000000000000000e+01,3.000000000000000000e+00
2.380000000000000000e+02,7.400000000000000000e+01,3.000000000000000000e+00
4.200000000000000000e+01,5.400000000000000000e+01,3.000000000000000000e+00
2.320000000000000000e+02,1.150000000000000000e+02,3.000000000000000000e+00
2.370000000000000000e+02,5.500000000000000000e+01,3.000000000000000000e+00
2.350000000000000000e+02,6.000000000000000000e+01,3.000000000000000000e+00
1.920000000000000000e+02,8.200000000000000000e+01,3.000000000000000000e+00
5.800000000000000000e+01,7.100000000000000000e+01,3.000000000000000000e+00
2.280000000000000000e+02,1.190000000000000000e+02,3.000000000000000000e+00
5.100000000000000000e+01,1.730000000000000000e+02,3.000000000000000000e+00
2.790000000000000000e+02,1.250000000000000000e+02,3.000000000000000000e+00
1.780000000000000000e+02,1.240000000000000000e+02,3.000000000000000000e+00
2.850000000000000000e+02,8.900000000000000000e+01,3.000000000000000000e+00
1.920000000000000000e+02,9.000000000000000000e+01,3.000000000000000000e+00
2.910000000000000000e+02,1.470000000000000000e+02,3.000000000000000000e+00
2.750000000000000000e+02,1.220000000000000000e+02,3.000000000000000000e+00
