col,row,snr
4.000000000000000000e+01,5.100000000000000000e+01,8.565322456121752026e+00
2.690000000000000000e+02,8.500000000000000000e+01,5.744525748958333899e+00
2.870000000000000000e+02,5.800000000000000000e+01,7.097817740674688736e+00
2.670000000000000000e+02,8.500000000000000000e+01,7.216697825694025070e+00
2.680000000000000000e+02,6.700000000000000000e+01,7.114295762273571633e+00
6.800000000000000000e+01,6.200000000000000000e+01,5.720993734165995548e+00
2.930000000000000000e+02,5.800000000000000000e+01,6.358840063779975793e+00
2.150000000000000000e+02,3.800000000000000000e+01,9.207072688033779428e+00
3.300000000000000000e+01,1.660000000000000000e+02,7.973452506050218602e+00
2.320000000000000000e+02,3.400000000000000000e+01,5.315508835060803072e+00
2.200000000000000000e+01,1.760000000000000000e+02,6.785476311387291126e+00
2.200000000000000000e+01,3.700000000000000000e+01,6.332092909905931322e+00
2.830000000000000000e+02,1.410000000000000000e+02,6.880331518401008317e+00
2.240000000000000000e+02,1.320000000000000000e+02,6.391218943461672630e+00
2.370000000000000000e+02,1.210000000000000000e+02,6.751117694006275372e+00
6.800000000000000000e+01,4.500000000000000000e+01,5.850202530074060547e+00
2.770000000000000000e+02,2.600000000000000000e+01,7.076505961667998612e+00
2.000000000000000000e+02,6.700000000000000000e+01,5.222268239742884788e+00
7.000000000000000000e+01,1.360000000000000000e+02,6.053019353873830610e+00
1.610000000000000000e+02,1.380000000000000000e+02,5.911936878216631719e+00
1.980000000000000000e+02,7.500000000000000000e+01,7.236499773923673828e+00
2.840000000000000000e+02,8.200000000000000000e+01,5.604871118604981106e+00
4.100000000000000000e+01,1.690000000000000000e+02,8.297214243545951717e+00
2.510000000000000000e+02,4.800000000000000000e+01,7.647689155550816409e+00
2.230000000000000000e+02,4.600000000000000000e+01,7.114832340798227683e+00
1.820000000000000000e+02,1.310000000000000000e+02,6.042975464799372531e+00
4.400000000000000000e+01,1.390000000000000000e+02,7.754517306128442478e+00
2.220000000000000000e+02,3.900000000000000000e+01,7.013505303409923286e+00
2.580000000000000000e+02,2.400000000000000000e+01,5.292667813238081997e+00
1.780000000000000000e+02,1.200000000000000000e+02,8.010810320464559098e+00
2.680000000000000000e+02,6.800000000000000000e+01,7.126464946390319355e+00
2.540000000000000000e+02,9.500000000000000000e+01,6.804170962108345933e+00
2.680000000000000000e+02,6.100000000000000000e+01,6.300501953417768419e+00
2.750000000000000000e+02,6.800000000000000000e+01,8.463865073192005539e+00
6.900000000000000000e+01,1.990000000000000000e+02,6.322720927357579512e+00
2.740000000000000000e+02,6.500000000000000000e+01,7.715160840645452822e+00
2.400000000000000000e+01,1.760000000000000000e+02,5.745903172639382994e+00
6.200000000000000000e+01,1.940000000000000000e+02,7.667254891939118799e+00
1.940000000000000000e+02,1.090000000000000000e+02,7.600084544357415872e+00
2.440000000000000000e+02,4.100000000000000000e+01,7.070694108796115707e+00
2.630000000000000000e+02,4.800000000000000000e+01,8.367046037019715499e+00
2.730000000000000000e+02,8.400000000000000000e+01,5.231157360613138962e+00
2.700000000000000000e+01,1.890000000000000000e+02,8.389293772144757355e+00
4.100000000000000000e+01,1.790000000000000000e+02,5.274467038411454922e+00
2.610000000000000000e+02,1.230000000000000000e+02,8.342700920510788265e+00
2.550000000000000000e+02,8.500000000000000000e+01,7.376248371850666175e+00
2.580000000000000000e+02,4.300000000000000000e+01,6.550003038433009905e+00
2.770000000000000000e+02,1.200000000000000000e+02,6.111672044049383246e+00
2.760000000000000000e+02,3.000000000000000000e+01,5.763365249475267404e+00
2.230000000000000000e+02,3.500000000000000000e+01,5.030432490548110813e+00
