col,row,snr
2.280000000000000000e+02,7.600000000000000000e+01,7.477365743577516710e+00
4.300000000000000000e+01,1.190000000000000000e+02,4.203820138046696187e+00
2.390000000000000000e+02,8.400000000000000000e+01,7.100685389808784720e+00
2.690000000000000000e+02,1.210000000000000000e+02,1.165657077600141633e+01
2.480000000000000000e+02,1.500000000000000000e+01,6.703663170505530289e+00
5.000000000000000000e+01,1.970000000000000000e+02,1.054170611283760550e+01
2.790000000000000000e+02,1.400000000000000000e+02,1.000444199542766377e+01
1.740000000000000000e+02,8.000000000000000000e+01,7.318411160167590523e+00
3.200000000000000000e+01,1.710000000000000000e+02,9.476996722461286993e+00
7.200000000000000000e+01,1.910000000000000000e+02,1.101240422599817315e+01
7.000000000000000000e+00,1.720000000000000000e+02,1.149282992868791453e+01
2.540000000000000000e+02,8.000000000000000000e+00,9.428989572621029325e+00
2.180000000000000000e+02,7.400000000000000000e+01,1.260642376147055188e+01
2.340000000000000000e+02,6.800000000000000000e+01,1.006379541705520353e+01
4.800000000000000000e+01,4.300000000000000000e+01,1.149590183209636507e+01
2.540000000000000000e+02,1.100000000000000000e+01,5.164720276033797575e+00
2.520000000000000000e+02,5.200000000000000000e+01,1.045307829357967044e+01
2.060000000000000000e+02,1.080000000000000000e+02,1.211855387086771074e+01
3.700000000000000000e+01,1.400000000000000000e+02,9.240827853337270525e+00
2.420000000000000000e+02,5.500000000000000000e+01,8.555346437180562091e+00
6.200000000000000000e+01,1.550000000000000000e+02,1.192509002855343958e+01
2.750000000000000000e+02,1.460000000000000000e+02,1.172333213114195516e+01
6.100000000000000000e+01,4.600000000000000000e+01,1.329569147372923155e+01
6.900000000000000000e+01,5.800000000000000000e+01,8.350049056258605162e+00
5.600000000000000000e+01,6.300000000000000000e+01,9.770990627596937372e+00
2.300000000000000000e+02,1.180000000000000000e+02,6.499839892017668319e+00
2.210000000000000000e+02,6.800000000000000000e+01,1.297720945268885906e+01
2.500000000000000000e+02,5.200000000000000000e+01,9.382779403443290533e+00
3.100000000000000000e+01,1.310000000000000000e+02,8.319484094176340605e+00
2.230000000000000000e+02,3.900000000000000000e+01,9.543985612087693582e+00
2.070000000000000000e+02,1.600000000000000000e+02,9.587508287334680190e+00
2.640000000000000000e+02,1.140000000000000000e+02,1.478524878354393124e+01
5.000000000000000000e+01,1.280000000000000000e+02,4.581582097314074176e+00
6.600000000000000000e+01,1.610000000000000000e+02,1.324488387871883077e+01
2.220000000000000000e+02,3.600000000000000000e+01,1.044028974184616310e+01
6.400000000000000000e+01,1.990000000000000000e+02,5.395656051083629556e+00
2.600000000000000000e+01,1.270000000000000000e+02,6.031724748092551103e+00
