x,y
9.404482014388489688e+02,4.075122302158274010e+02
9.173633093525180584e+02,3.728848920863310354e+02
9.025230215827338043e+02,4.165812949640288707e+02
9.334402877697841632e+02,4.326582733812950323e+02
1.008053956834532414e+03,3.638158273381295658e+02
1.037734532374100809e+03,3.662892086330936081e+02
1.051338129496402871e+03,3.353719424460432492e+02
1.090500000000000000e+03,3.361964028776978921e+02
1.064117266187050518e+03,3.168215827338129884e+02
1.095034532374100763e+03,3.168215827338129884e+02
1.159342446043165637e+03,3.201194244604317305e+02
1.205100000000000136e+03,3.535100719424461317e+02
1.167174820143884972e+03,4.132834532374101855e+02
1.109874820143885017e+03,4.404906474820144808e+02
1.219940287769784391e+03,3.077525179856115756e+02
1.175419424460431856e+03,2.710640287769784891e+02
1.219940287769784391e+03,2.723007194244605103e+02
1.228184892086331047e+03,2.389100719424460806e+02
1.132959712230215928e+03,2.549870503597122706e+02
1.187786330935251954e+03,2.273676258992806254e+02
1.208397841726618708e+03,1.667697841726619004e+02
1.239315107913669181e+03,1.539906474820144240e+02
1.147800000000000182e+03,8.638489208633095018e+01
1.187786330935251954e+03,3.032158273381295643e+01
1.283011510791367073e+03,8.308705035971225072e+01
1.325471223021582773e+03,1.197755395683453514e+02
1.268171223021582819e+03,1.218366906474820439e+02
1.056284892086330956e+03,1.585251798561151304e+02
9.907402877697842314e+02,1.379136690647482340e+02
1.008053956834532414e+03,8.762158273381297136e+01
1.005580575539568372e+03,6.247553956834533295e+01
1.084728776978417272e+03,2.125251798561151162e+01
1.078957553956834545e+03,5.216978417266187762e+01
1.002282733812949687e+03,2.125251798561151162e+01
9.495172661870503816e+02,6.824676258992806765e+01
9.173633093525180584e+02,8.061366906474822258e+01
9.322035971223021988e+02,9.586618705035972710e+01
9.759000000000000909e+02,9.339280575539569895e+01
9.049964028776978466e+02,1.531661870503597527e+02
8.382151079136690441e+02,8.185035971223022955e+01
8.476964028776978921e+02,8.762158273381297136e+01
8.843848920863309786e+02,6.701007194244604648e+01
8.794381294964028939e+02,5.093309352517986355e+01
8.691323741007194030e+02,2.784820143884892474e+01
8.270848920863309104e+02,3.856618705035971573e+01
9.519906474820144240e+02,1.989237410071942804e+02
9.153021582733813375e+02,2.240697841726619117e+02
1.265697841726618663e+03,3.110503597122302608e+02
1.278476978417266309e+03,3.155848920863310241e+02
1.297851798561151099e+03,3.077525179856115756e+02
